Year,Category,Film,FilmId,Winner,Nominees,Song
1935,Best Leading Actor,Black Fury,tt0026121,,Paul Muni,Joe Radek
1935,Best Leading Actor,Mutiny on the Bounty,tt0026752,,Charles Laughton,Captain Bligh
1935,Best Leading Actor,Mutiny on the Bounty,tt0026752,,Clark Gable,Fletcher Christian
1935,Best Leading Actor,The Informer,tt0026529,TRUE,Victor McLaglen,Gypo Nolan
1935,Best Leading Actor,Mutiny on the Bounty,tt0026752,,Franchot Tone,Roger Byam
1935,Best Leading Actress,Alice Adams,tt0026056,,Katharine Hepburn,Alice Adams
1935,Best Leading Actress,Escape Me Never,tt0026320,,Elisabeth Bergner,Gemma Jones
1935,Best Leading Actress,Private Worlds,tt0026893,,Claudette Colbert,Jane Everest
1935,Best Leading Actress,Dangerous,tt0026261,TRUE,Bette Davis,Joyce Heath
1935,Best Leading Actress,Becky Sharp,tt0026104,,Miriam Hopkins,Becky Sharp
1935,Best Leading Actress,The Dark Angel,tt0026264,,Merle Oberon,Kitty Vane
1935,Best Original Screenplay,G-Men,tt0026393,,Gregory Rogers,
1935,Best Original Screenplay,Broadway Melody of 1936,tt0026144,,Moss Hart,
1935,Best Original Screenplay,The Gay Deception,tt0026400,,"Don Hartman, Stephen Avery",
1935,Best Original Screenplay,The Scoundrel,tt0026970,TRUE,"Ben Hecht, Charles MacArthur",
1935,Best Original Song,Top Hat,tt0027125,,Music and Lyrics by Irving Berlin,Cheek To Cheek
1935,Best Original Song,Roberta,tt0026942,,Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh,Lovely To Look At
1935,Best Original Song,Gold Diggers of 1935,tt0026421,TRUE,Music by Harry Warren; Lyrics by Al Dubin,Lullaby Of Broadway
1935,Best Picture,The Informer,tt0026529,,RKO Radio,
1935,Best Picture,Captain Blood,tt0026174,,Cosmopolitan,
1935,Best Picture,Alice Adams,tt0026056,,RKO Radio,
1935,Best Picture,Broadway Melody of 1936,tt0026144,,Metro-Goldwyn-Mayer,
1935,Best Picture,David Copperfield,tt0026266,,Metro-Goldwyn-Mayer,
1935,Best Picture,Les Miserables,tt0026725,,20th Century,
1935,Best Picture,The Lives of a Bengal Lancer,tt0026643,,Paramount,
1935,Best Picture,A Midsummer Night's Dream,tt0026714,,Warner Bros.,
1935,Best Picture,Mutiny on the Bounty,tt0026752,TRUE,Metro-Goldwyn-Mayer,
1935,Best Picture,Naughty Marietta,tt0026768,,Metro-Goldwyn-Mayer,
1935,Best Picture,Ruggles of Red Gap,tt0026955,,Paramount,
1935,Best Picture,Top Hat,tt0027125,,RKO Radio,
1935,Best Production Design,Top Hat,tt0027125,,"Van Nest Polglase, Carroll Clark",
1935,Best Production Design,The Lives of a Bengal Lancer,tt0026643,,"Hans Dreier, Roland Anderson",
1935,Best Production Design,The Dark Angel,tt0026264,TRUE,Richard Day,
1935,Best Short Film,Who Killed Cock Robin?,tt0027212,,"Walt Disney, Producer",
1935,Best Short Film,"Oh, My Nerves",tt0026803,,"Jules White, Producer",
1935,Best Short Film,The Calico Dragon,tt0026162,,Harman-Ising,
1935,Best Short Film,Tit for Tat,tt0027113,,"Hal Roach, Producer",
1935,Best Short Film,Audioscopiks,tt0026086,,"Pete Smith, Producer",
1935,Best Short Film,Camera Thrills,tt0026167,,Universal,
1935,Best Short Film,Three Orphan Kittens,tt0027100,TRUE,"Walt Disney, Producer",
1935,Best Short Film,How to Sleep,tt0026497,TRUE,"Jack Chertok, Producer",
1935,Best Short Film,Wings over Mt. Everest,tt0024777,TRUE,Gaumont British and Skibo Productions,
1935,Best Sound,Captain Blood,tt0026174,,"Warner Bros.-First National Studio Sound Department, Nathan Levinson, Sound Director",
1935,Best Sound,The Lives of a Bengal Lancer,tt0026643,,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",
1935,Best Sound,Bride of Frankenstein,tt0026138,,"Universal Studio Sound Department, Gilbert Kurland, Sound Director",
1935,Best Sound,The Dark Angel,tt0026264,,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",
1935,Best Sound,I Dream Too Much,tt0026507,,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director",
1935,Best Sound,Love Me Forever,tt0026654,,"Columbia Studio Sound Department, John Livadary, Sound Director",
1935,Best Sound,Naughty Marietta,tt0026768,TRUE,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",
